BDD_ID,Bench Label
1014,3224
1016,3000
402304,3223
402426,3392
402429,3541
402432,3636
402439,3715
402485,4253
402494,4338
12,2733
97043,4805
80701,4870
165669,4534
166729,4597
186348,4694
197216,4750
183818,4749
202540,4787
211644,4822
207857,4889
416119,4928
211644,4929
316367,4952
439524,4970
427780,4984
439528,5013
300634,2123
439544,4907
439564,5058
439564,5111
439564,5151
439581,5197
29,2736
44,2639
281,702
439585,2901
32,2233
97048,3505
97053,3688
1905,3965
97177,4031
97184,4048
97232,4077
97280,4108
97257,4149
439599,4192
39,2638
945,3079
439603,3302
957,3078
439605,3301
968,3077
439608,3300
978,3076
439610,3299
992,3075
439613,3298
1002,3074
439615,3297
1009,3073
439618,3296
1016,3072
439619,311
439623,3295
439650,3401
439653,3544
31,1844
945,3015
439655,3238
957,3014
439658,3237
968,3013
439660,3236
978,3012
439662,3235
992,3011
439664,3234
1002,3010
439666,3233
1009,3009
302479,3232
1016,3008
439670,3231
439858,3393
439861,3543
439864,3637
439871,3716
439917,4254
439926,4341
12,2735
440449,4186
440987,4291
97280,4359
97257,4486
15589,4182
443662,4528
443688,4299
445305,4487
448617,4576
453907,4636
447161,4635
456512,4675
461448,4711
461452,4797
300634,2124
461469,4794
461488,4876
461488,4937
477010,5220
477026,4978
489315,5196
501465,5236
501465,5269
535230,5284
496026,5283
581643,5295
611252,5309
611252,5335
604008,5352
29,2738
611255,1824
43,2221
611256,2641
11,1325
611260,1747
611262,1738
15,2144
1138,724
611264,2347
611258,2145
611261,2143
4536,947
4559,1470
4516,944
8869,1694
4560,1469
8813,1693
611266,1936
611265,2142
4519,941
4561,1468
4794,938
8678,1692
4891,1467
8671,1691
611268,1933
611274,2342
611267,2141
611280,2341
611286,2471
611290,2980
611297,3206
611302,3406
611253,2234
611308,3181
611308,3511
611314,3689
6907,3861
6907,3971
611538,4032
611545,4049
611587,4078
611669,4109
611633,4150
611675,4193
39,2640
945,3087
611679,3310
957,3086
611681,3309
968,3085
611684,3308
978,3084
611686,3307
992,3083
611689,3306
1002,3082
611691,3305
1009,3081
611694,3304
1016,3080
611695,317
611699,3303
611728,3402
611730,3546
31,1845
945,3023
611732,3246
957,3022
611734,3245
968,3021
611736,3244
978,3020
611738,3243
992,3019
611740,3242
1002,3018
1006,3241
1009,3017
402236,3240
1016,3016
611744,3239
612051,3394
612054,3545
612057,3638
612064,3717
612092,4255
612103,4344
12,2737
4510,1922
612109,3184
612109,3514
612115,3696
5479,3865
5479,3974
612349,4055
612356,4054
612406,4090
612488,4128
612494,3187
612494,3520
612500,3694
46274,3868
46274,3980
612730,4052
612737,4051
612787,4088
612869,4123
612869,4223
613246,4319
613707,4493
614168,4558
614174,3690
614174,3827
614180,3911
6216,3940
6216,4067
614400,4127
614407,4126
614457,4161
614539,4218
614539,4362
614503,4491
614560,3818
614560,3917
614864,4238
614885,3815
615249,4287
615249,4430
616409,4530
616721,4529
617839,4573
619101,4623
621037,4677
618522,4676
622443,4716
624337,4757
624620,4242
624620,4365
624903,4461
612488,4247
612452,4330
614560,3921
625535,4393
625555,4013
626132,4329
626845,4458
626845,4581
627959,4641
626501,4640
628831,4678
629917,4717
15589,4296
443688,4295
440449,4331
631155,4468
631155,4564
631588,4318
632122,4390
632122,4537
632656,4602
611308,3508
611314,3704
6907,3968
611538,4066
611545,4065
611587,4101
611669,4142
611633,4241
633494,4328
633809,4327
633830,3916
633851,3948
635113,4427
637262,4511
634709,4510
638862,4555
641254,4599
641254,4697
645414,4754
640198,4753
647904,4788
651676,4823
657272,4901
632122,4540
632656,4603
641254,4700
645414,4756
640198,4755
647904,4789
651676,4826
650053,4868
659876,4900
661497,4926
661501,4954
300634,2125
661514,4913
661534,4988
661534,5042
661861,5097
29,2740
611256,2643
15,2150
1133,736
661863,2351
611258,2151
611261,2149
1131,763
1131,1490
949,1946
1136,749
1136,1487
377965,2139
960,1945
388642,2138
399910,2334
395124,2477
1133,1484
972,1944
1138,1481
9138,2137
981,1943
11340,2136
182992,2331
568888,2757
183002,2476
526734,2756
607823,2977
661867,3388
661874,3535
661879,3642
611253,2235
614174,3830
614180,3906
6216,4070
614400,4110
614407,4122
614457,4151
614539,4194
614503,4256
661888,4304
39,2642
945,3095
661892,3318
957,3094
661894,3317
968,3093
661897,3316
978,3092
661899,3315
992,3091
661902,3314
1002,3090
661904,3313
1009,3089
661907,3312
1016,3088
661908,322
661912,3311
661941,3403
661944,3548
31,1846
945,3031
661946,3254
957,3030
661948,3253
968,3029
661950,3252
978,3028
661952,3251
992,3027
661954,3250
1002,3026
302477,3249
1009,3025
439618,3248
1016,3024
661957,3247
662210,3395
662213,3547
662216,3639
662223,3718
662259,4377
662270,4475
12,2739
663628,4808
665624,4872
624337,4854
670564,4905
623470,4904
674041,4930
678318,4953
678322,4973
300634,2126
678335,4838
678355,5018
678355,5070
682943,5110
682960,5109
686923,5125
690769,5145
690769,5205
689028,5233
29,2742
611256,2645
15,2157
690771,2355
611258,2156
4325,1340
6522,1725
690775,2354
611261,2155
96,683
154,699
690776,1267
6421,1722
690782,2148
21,839
21,1273
690783,2350
18,1736
1399,935
1477,1262
1383,932
11317,1512
1478,1261
11278,1511
180571,1718
180571,2316
180488,2468
1386,929
1479,1260
188,926
690785,1510
272,1259
690787,1509
690789,1715
690789,2313
690791,2749
690788,2467
690793,2748
690795,2966
690794,3196
690796,3387
690802,3534
690808,3633
690817,3712
690822,3779
611253,2236
612109,3517
612115,3693
5479,3977
612349,4033
612356,4050
612406,4079
612488,4111
612452,4152
690831,4195
39,2644
945,3103
690835,3326
957,3102
690837,3325
968,3101
690840,3324
978,3100
690842,3323
992,3099
690845,3322
1002,3098
690847,3321
1009,3097
690850,3320
1016,3096
690851,326
690855,3319
690884,3404
690887,3550
31,1847
945,3039
690889,3262
957,3038
690891,3261
968,3037
690893,3260
978,3036
690895,3259
992,3035
997,3258
1002,3034
402234,3257
1009,3033
611694,3256
1016,3032
690897,3255
691083,3396
691086,3549
691089,3640
691096,3719
691134,4257
691145,4347
12,2741
631155,4664
630536,4726
624620,4368
624903,4462
626845,4584
627959,4643
626501,4642
628831,4679
629917,4721
629406,4775
694480,4829
629917,4830
665624,4873
700255,4906
697383,4931
700259,4957
300634,2127
700272,4800
700292,4996
700292,5039
700309,5095
29,2744
611256,2647
15,2154
700311,2353
611258,2153
10517,1264
26573,1735
700315,2352
611261,2152
21,1276
101,1263
700316,1520
700317,1966
18,1737
281,1478
154,1942
97,1475
378356,2135
96,1941
389102,2134
400265,2328
395478,2475
98,1471
93,1939
45,950
700319,2133
46,1474
700321,1940
391682,2325
700323,2755
397394,2474
700325,2754
581695,2973
700326,3389
700329,3536
700335,3632
700344,3711
700349,3780
611253,2237
612494,3523
612500,3695
46274,3983
612730,4034
612737,4053
612787,4080
612869,4112
612833,4153
700358,4196
39,2646
945,3111
700362,3334
957,3110
700364,3333
968,3109
700367,3332
978,3108
700369,3331
992,3107
700372,3330
1002,3106
700374,3329
1009,3105
700376,3328
1016,3104
700377,329
700381,3327
700410,3405
700413,3552
31,1848
945,3047
700415,3270
957,3046
700417,3269
968,3045
700419,3268
978,3044
700421,3267
992,3043
302475,3266
1002,3042
439615,3265
1009,3041
661907,3264
1016,3040
700423,3263
700544,3397
700547,3551
700550,3641
700557,3720
700595,4258
700606,4350
12,2743
612869,4371
612833,4464
56237,965
701022,4515
80702,1460
701600,4463
702112,4559
702116,4650
300634,2128
702129,4647
702148,4727
702148,4812
703904,5108
703920,4885
705399,5094
707043,5122
707043,5174
712467,5245
706242,5217
718973,5232
724319,5258
724319,5292
822253,5355
722222,5312
926036,5349
990046,5359
611252,5332
604008,5353
724319,5289
822253,5354
722222,5313
926036,5348
990046,5358
978406,5361
690769,5209
689028,5235
707043,5177
712467,5246
706242,5219
718973,5234
724319,5261
722222,5279
722222,5306
724319,5322
439564,5154
439581,5199
461488,4940
477010,5221
477026,4979
489315,5198
501465,5240
496026,5250
4506,923
127,920
990047,1461
1004968,5114
1004968,5163
1019909,5203
1037081,5128
1037081,5188
1060547,5224
1071022,5225
1082458,5243
1101016,5257
1091737,5266
1101017,350
1060548,1464
1060548,1930
1101019,2307
1112721,5286
1112724,2310
1004968,5160
1019909,5201
1037081,5184
1060547,5223
1071022,5222
1082458,5242
1101016,5254
1136662,5278
1203508,5285
0,5277
1313422,5298
1313422,5327
1465984,5341
1503137,5344
1659748,5351
1778682,5357
722222,5303
724319,5323
1313422,5324
1465984,5340
1503137,5345
1659748,5350
1778682,5356
1778682,5360
302443,5085
379416,5055
439581,5061
477026,4880
1795184,5133
682960,5021
700309,4999
661861,4991
703920,4730
1802311,5066
1815059,5173
1836400,5136
1893815,5193
1894086,5215
1894357,5231
1815059,5166
1898085,5192
439564,5103
439564,5121
300671,5120
370217,5102
678355,5046
678355,5078
700292,5029
700292,5047
661534,5026
661534,5045
1898087,1331
1898089,1756
1898090,2184
102125,4569
1903816,4630
56236,4413
1905319,4668
1907688,4506
1912499,4629
1914867,4704
1915964,4772
1917080,4817
36394,4479
45876,4568
123695,4613
1917296,4688
121964,4687
1920216,4733
1920794,4769
1924924,4860
1920505,4816
1926246,4859
1929584,4895
1929596,4921
1898088,2183
960,1499
1136,1731
972,959
5494,1961
1133,1272
5496,1730
5498,2147
632657,2349
1929599,2483
1898086,1770
46,1268
1929600,1729
45,1726
96,1493
97,1728
93,953
2389,1960
98,1271
2391,1727
2393,2146
1929602,2348
1929603,2478
1929605,2764
1929636,4965
1929620,4980
1929620,4964
1929620,5002
461488,4920
461488,4944
702148,4778
702148,4815
7,1334
16,2175
1929639,2482
1929643,2761
13,1769
630536,4442
1929654,4498
12,2481
1929658,2758
1929687,4588
1929674,4628
1929674,4587
1929674,4667
615249,4398
615249,4497
616721,4496
613707,4545
1930140,4589
26912,4074
1931291,4073
1931298,4104
1931305,4145
1931312,4028
607823,3384
607823,3697
592198,3778
581695,3484
1931314,3835
604010,3629
1931316,3777
926132,3885
978408,3925
607823,3700
592198,3776
581695,3487
1931314,3834
604010,3628
1931316,3775
926132,3884
978408,3924
926132,3987
611286,2970
611286,3481
611285,3627
180571,2322
180488,2470
690789,2319
690791,2751
690788,2469
690793,2750
690795,2967
690795,3478
1931318,3708
690794,3626
1931320,3707
1931322,3774
611286,3475
611285,3631
690795,3472
1931318,3706
690794,3630
1931320,3705
1931322,3773
1931321,3833
15,1328
14,2181
46035,1258
5014,1257
5750,1256
5263,1255
13828,1508
1931323,1254
1931324,1253
1931325,1252
1931326,1251
1931355,1507
1931401,1721
1931403,2379
11,1768
8854,768
12244,1067
1931406,1983
1898088,2180
1931407,2376
1931418,2746
1931413,2962
1931413,2745
1931418,3195
26521,1714
26573,1947
100,1250
1931422,1505
1790836,1713
